x,y
3.499699939987998,1
-4.00380076015203,0
-3.3116623324664936,0
-2.371474294858972,0
-0.539107821564313,0
2.569513902780556,1
2.8095619123824767,1
1.9273854770954193,1
3.897779555911182,1
-0.29705941188237617,1
-3.5497099419883975,0
-4.193838767753551,0
-2.6955391078215643,0
-2.649529905981196,0
-0.7251450290058008,1
2.2454490898179635,1
-4.485897179435887,0
-1.4652930586117225,0
-1.7553510702140427,0
3.5577115423084624,1
2.2814562912582517,1
0.8391678335667132,1
4.00380076015203,1
1.7353470694138826,1
0.8631726345269053,1
2.7795559111822365,1
-0.4150830166033206,1
0.7051410282056407,1
-4.279855971194239,0
4.749949989997999,1
0.45909181836367274,1
2.071414282856571,1
3.119623924784957,1
1.3452690538107621,1
2.067413482696539,1
3.143628725745149,1
3.211642328465693,1
4.647929585917183,1
-4.293858771754351,0
-1.869373874774955,0
1.2632526505301058,1
-2.987597519503901,0
4.3738747749549916,1
-4.633926785357072,0
-1.5153030606121223,0
3.3536707341468297,1
-0.8451690338067612,1
4.335867173434687,1
-1.4632926585317065,0
-2.2994598919783957,0
2.2234446889377875,1
2.409481896379276,1
2.5475095019003797,1
-1.3452690538107621,0
-0.041008201640328146,1
1.9533906781356274,1
2.893578715743149,1
2.363472694538908,1
0.0010002000400080036,1
4.407881576315264,1
-0.08901780356071232,1
-1.8793758751750351,0
-3.2296459291858373,0
-0.09101820364072832,1
1.5553110622124429,1
2.425485097019404,1
-2.5735147029405883,0
-0.781156231246249,1
-1.689337867573515,0
-4.127825565113023,0
-2.655531106221244,0
4.413882776555312,1
3.8697739547909578,1
-3.0776155231046207,0
-1.0192038407681534,0
-2.651530306061212,0
-4.321864372874575,0
0.03900780156031214,1
2.2214442888577715,1
-0.31506301260252023,1
-4.663932786557312,0
-2.1374274854970996,0
-2.64752950590118,0
1.869373874774955,1
-2.34746949389878,0
-4.099819963992799,0
0.9971994398879778,1
-0.03300660132026412,1
4.107821564312863,1
0.8431686337267452,1
4.5899179835967185,1
0.45709141828365674,1
2.861572314462893,1
-0.7651530306061209,0
-1.5533106621324264,0
1.9013802760552112,1
0.6671334266853375,1
0.17903580716143264,1
4.547909581916384,1
-0.5911182236447292,0
3.0236047209441885,1
3.48369673934787,1
4.477895579115824,1
-2.379475895179036,0
1.4152830566113224,1
2.645529105821164,1
-3.4436887377475496,0
0.021004200840168075,1
-3.2656531306261254,0
2.931586317263453,1
-2.315463092618524,0
-2.473494698939788,0
-1.961392278455691,0
-4.297859571914383,0
-3.74374874974995,0
4.545909181836368,1
1.9393878775755153,1
1.7793558711742348,1
0.5151030206041209,1
1.2132426485297056,1
-1.6313262652530507,0
0.1670334066813366,1
-4.189837967593519,0
-2.2554510902180436,0
-2.3954790958191636,0
-0.3870774154830965,1
-1.693338667733547,0
-3.3856771354270854,0
-4.647929585917184,0
2.2474494898979795,1
-0.8911782356471294,0
-2.1334266853370676,0
-1.8753750750150031,0
0.539107821564313,1
-4.661932386477296,0
3.203640728145629,1
2.153430686137227,1
